recorded_at,month_num,store_key,brand_name,flavor_name,tupper_basic,tupper_reserve,pkg_50,pkg_100,pkg_125,pkg_200,pkg_250,pkg_1kg,val_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HF (Hookafina),Pink Grapefruit,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,HF (Hookafina),Salted Caramel Waffle,◯,Sweet,1,"6,228",-,-,-,-,0,,20,,,,,,"2,000",,,,,,,0,"2,000",135,-,-,-,135,,11,,,,,,"1,100",,,,,,,0,"1,235",140,-,-,-,140,,13,,,,,,"1,300",,1,,,,,100,"1,540",42,211,-,-,253,,12,,,,,,"1,200",,,,,,,0
,,,HF (Hookafina),Spicy Peach,✕,Normal,,7,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,7,-,-,-,7,,,,,,,,0,,,,,,,0,7,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,HF (Hookafina),Strawberry Margarita,✕,Normal,,426,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,26,-,-,-,26,,,,,,,,0,,3,,,,,300,326,100,-,-,-,100,,,,,,,,0,,,,,,,0
,,,HF (Hookafina),Tutti Fruiti,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,HF (Hookafina),Vanilla Shake,✕,Sweet,,"1,389",-,-,-,-,0,,5,,,,,,500,,,,,,,0,500,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,48,100,-,-,148,,,,,,,,0,,1,,,,,100,248,41,-,-,-,41,,4,,,,,,400,,2,,,,,200
,,,HF (Hookafina),Watermelon Mint,✕,Normal,,81,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,81,-,-,-,81,,,,,,,,0,,,,,,,0,81,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,MZ (Mazaya),Twist,✕,Sweet,,120,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,120,-,-,-,120,,,,,,,,0,,,,,,,0,120,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,MH (Musthave),Araram,✕,Strong,,154,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,37,-,-,-,37,,,,,,,,0,,,,,,,0,37,17,-,-,-,17,,,,,,,100,100,,,,,,,0,117,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,MH (Musthave),Black Currant,✕,Strong,,41,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,16,-,-,-,16,,,,,,,25,25,,,,,,,0,41,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,MH (Musthave),Candy Cow,✕,Normal,,50,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,25,25,,,,,,,0,25,25,-,-,-,25,,,,,,,,0,,,,,,,0
,,,MH (Musthave),Caribbean Rum,✕,Sweet,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,MH (Musthave),Charlotte Pie,✕,Sweet,,115,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,19,21,-,-,40,,,,,,,75,75,,,,,,,0,115,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,MH (Musthave),Cheesecake,✕,Sweet,,6,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,6,-,-,-,6,,,,,,,,0,,,,,,,0,6,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,MH (Musthave),Cherry-Cola,✕,Strong,,47,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,17,-,-,-,17,,,,,,,,0,,,,,,,0,17,5,25,-,-,30,,,,,,,,0,,,,,,,0
,,,MH (Musthave),Cinnamon,✕,Sweet,,29,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,4,-,-,-,4,,,,,,,25,25,,,,,,,0,29,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,MH (Musthave),Cookie,✕,Sweet,,37,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,12,-,-,-,12,,,,,,,25,25,,,,,,,0,37,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,MH (Musthave),Cranberry,✕,Strong,,98,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,12,22,-,-,34,,,,,,,25,25,,,,,,,0,59,14,25,-,-,39,,,,,,,,0,,,,,,,0
,,,MH (Musthave),Earl Grey,✕,Strong,,52,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,11,-,-,-,11,,,,,,,25,25,,,,,,,0,36,16,-,-,-,16,,,,,,,,0,,,,,,,0
,,,MH (Musthave),Estragon,✕,Strong,,18,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,18,-,-,-,18,,,,,,,,0,,,,,,,0,18,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,MH (Musthave),Honey Holls,✕,Sweet,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,MH (Musthave),Mad Pear,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,MH (Musthave),Maple Pecan,✕,Sweet,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,MH (Musthave),Marula,✕,Normal,,176,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,25,-,-,-,25,,,,,,,,0,,,,,,,0,25,5,21,-,-,26,,,,,,,125,125,,,,,,,0,151,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,MH (Musthave),Milky Rice,✕,Sweet,,35,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,10,-,-,-,10,,,,,,,25,25,,,,,,,0,35,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,MH (Musthave),Morocco,✕,Mint,,66,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,4,-,-,-,4,,,,,,,50,50,,,,,,,0,54,12,-,-,-,12,,,,,,,,0,,,,,,,0
,,,MH (Musthave),Mulled Wine,✕,Strong,,15,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,9,-,-,-,9,,,,,,,,0,,,,,,,0,9,6,-,-,-,6,,,,,,,,0,,,,,,,0
,,,MH (Musthave),Nord Star,✕,Strong,,148,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,14,-,-,-,14,,,,,,,,0,,,,,,,0,14,9,-,-,-,9,,,,,,,125,125,,,,,,,0,134,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,RV (Revoshi),Biscuit,✕,Sweet,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,RV (Revoshi),Black Grape,✕,Strong,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,RV (Revoshi),Double Apple Strong,✕,Strong,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,RV (Revoshi),Eskimo Cola,✕,Strong,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,RV (Revoshi),Eskimo Lemon,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,RV (Revoshi),Grape,✕,Strong,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,RV (Revoshi),Sweet Pineapple,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0
,,,SB (Starbuzz/Bold),Blue Mist,✕,Mint,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,SB (Starbuzz/Bold),Geisha,✕,Mint,,119,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,36,-,-,-,36,,,,,,,,0,,,,,,,0,36,67,-,-,-,67,,,,,,,,0,,,,,,,0,67,16,-,-,-,16,,,,,,,,0,,,,,,,0
,,,SB (Starbuzz/Bold),Lebanese Bomb Shell,◯,Strong,1,"3,824",-,-,-,-,0,,,,,6,,,"1,500",,,,,,,0,"1,500",143,-,-,-,143,,,,,2,,,500,,,,,,,0,643,267,-,-,-,267,,,,,2,,,500,,,,,,,0,767,164,0,-,-,164,,,,,3,,,750,,,,,,,0
,,,SB (Starbuzz/Bold),Pirate'S Cave,✕,Normal,,729,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,229,-,-,-,229,,,,,,,,0,,,,,,,0,229,-,-,-,-,0,,,,,2,,,500,,,,,,,0,500,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,SB (Starbuzz/Bold),Safari Melon Dew,✕,Normal,,375,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,140,-,-,-,140,,,,,,,,0,,,,,,,0,140,235,-,-,-,235,,,,,,,,0,,,,,,,0
,,,SS (Social Smoke),Absolute Zero,✕,Mint,,348,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,248,-,-,-,248,,1,,,,,,100,,,,,,,0
,,,SS (Social Smoke),Chai Latte,✕,Sweet,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,SS (Social Smoke),Cinnamon Roll,✕,Sweet,,"1,000",-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,1,,"1,000",,,,,,,0,"1,000",-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,SS (Social Smoke),Dulce De Leche,✕,Sweet,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,SS (Social Smoke),Golden Delicious Apple,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,SS (Social Smoke),Hong Kong Milk Tea,✕,Sweet,,739,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,106,-,-,-,106,,,,,,,,0,,,,,,,0,106,184,-,-,-,184,,,,,,,349,349,,,,,,,0,533,100,-,-,-,100,,,,,,,,0,,,,,,,0
,,,SS (Social Smoke),Japanese Yuzu,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,SS (Social Smoke),Lemon Drop,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,SS (Social Smoke),Pear Chill,✕,Normal,,269,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,269,-,-,-,269,,,,,,,,0,,,,,,,0
,,,TF (Trifecta),Lemon Mint,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TF (Trifecta),Nawar,◯,Strong,1,"4,692",-,-,-,-,0,,,,,9,,,"2,250",,,,,,,0,"2,250",254,-,-,-,254,,,,,2,,,500,,,,,,,0,754,272,-,-,-,272,,,,,3,,,750,,,,,,,0,"1,022",166,-,-,-,166,,,,,2,,,500,,,,,,,0
,,,TF (Trifecta),Peppermint Shake,✕,Sweet,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TF (Trifecta),Pineapple Guava,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TF (Trifecta),Tnt,✕,Strong,,176,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,176,-,-,-,176,,,,,,,,0,,,,,,,0
,,,TF (Trifecta),Twice The Ice X,✕,Mint,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Absinthe,✕,Strong,,186,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,186,-,-,-,186,,,,,,,,0,,,,,,,0,186,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG BURLEY (Tangiers Burley),Absinthe (Burley),✕,Strong,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Apricot Spring Blend,✕,Normal,,162,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,162,-,-,-,162,,,,,,,,0,,,,,,,0,162,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Atmosphere,✕,Normal,,5,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,5,-,-,-,5,,,,,,,,0,,,,,,,0,5,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Banana Foster,✕,Sweet,,"4,133",-,-,-,-,0,,39,,,,,,"3,900",,,,,,,0,"3,900",233,-,-,-,233,,,,,,,,0,,,,,,,0,233,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Basil Strawberry,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Blackberry Lime,✕,Normal,,6,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,6,-,-,-,6,,,,,,,,0,,,,,,,0,6,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Blizsturm,✕,Mint,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Blueberry,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Blueberry Grapefruit,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Bubble Gum,✕,Normal,,625,-,-,-,-,0,,6,,,,,,600,,,,,,,0,600,25,-,-,-,25,,,,,,,,0,,,,,,,0,25,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Cactus Fruit,✕,Normal,,33,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,33,-,-,-,33,,,,,,,,0,,,,,,,0,33,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Cane Mint,△,Mint,2,"13,349",-,-,-,-,0,,113,,,,,,"11,300",,,,,,,0,"11,300",150,219,-,-,369,,,,,,,,0,,,,,,,0,369,77,0,-,-,77,,10,,,,,,"1,000",,,,,,,0,"1,077",78,225,-,-,303,,3,,,,,,300,,,,,,,0
,,,TG BURLEY (Tangiers Burley),Cane Mint (Burley),✕,Mint,,"4,605",-,-,-,-,0,,44,,,,,,"4,400",,,,,,,0,"4,400",205,-,-,-,205,,,,,,,,0,,,,,,,0,205,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Cane Mint Alpha,✕,Mint,,"9,417",-,-,-,-,0,,38,,,,,,"3,800",,,,,,,0,"3,800",213,0,-,-,213,,16,,,,,,"1,600",,,,,,,0,"1,813",84,-,-,-,84,,18,,,,,,"1,800",,,,,,,0,"1,884",120,-,-,-,120,,18,,,,,,"1,800",,,,,,,0
,,,TG BURLEY (Tangiers Burley),Cane Mint Alpha (Burley),✕,Mint,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Caramel Apple,✕,Sweet,,526,-,-,-,-,0,,4,,,,,,400,,,,,,,0,400,126,-,-,-,126,,,,,,,,0,,,,,,,0,126,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Cardamom Cheesecake,✕,Sweet,,134,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,134,-,-,-,134,,,,,,,,0,,,,,,,0,134,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Chai,✕,Sweet,,73,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,73,-,-,-,73,,,,,,,,0,,,,,,,0,73,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Cherry Lemonade,✕,Strong,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Cherry Limeade,✕,Strong,,"3,586",-,-,-,-,0,,28,,,,,,"2,800",,,,,,,0,"2,800",63,-,-,-,63,,2,,,,,,200,,,,,,,0,263,233,-,-,-,233,,,,,,,,0,,,,,,,0,233,190,-,-,-,190,,1,,,,,,100,,,,,,,0
,,,TG NOIR (Tangiers Noir),Chocolate Iced Cream,△,Sweet,1,357,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,142,-,-,-,142,,2,,,,,,200,,,,,,,0,342,15,-,-,-,15,,,,,,,,0,,,,,,,0,15,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Cinnamon,✕,Sweet,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Clove,✕,Strong,,364,-,-,-,-,0,,1,,,,,,100,,,,,,,0,100,64,-,-,-,64,,2,,,,,,200,,,,,,,0,264,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Cocoa,✕,Sweet,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Coconut,✕,Sweet,,635,-,-,-,-,0,,3,,,,,,300,,,,,,,0,300,89,-,-,-,89,,2,,,,,,200,,,,,,,0,289,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,46,-,-,-,46,,,,,,,,0,,,,,,,0
